energy intensity
1.550000000000000044e+00 -4.236207773203050711e-03
1.600000000000000089e+00 1.218870478358897026e-04
1.650000000000000133e+00 3.863834896440715080e-03
1.700000000000000178e+00 6.283596916739879988e-03
1.750000000000000222e+00 6.861288518741358138e-03
1.800000000000000044e+00 5.924383450287585944e-03
1.850000000000000089e+00 5.607215876329688098e-03
1.900000000000000133e+00 7.846984975834869064e-03
1.950000000000000178e+00 1.308323504425942287e-02
2.000000000000000000e+00 2.125248108857361040e-02
2.049999999999999822e+00 3.174931045663455242e-02
2.100000000000000089e+00 4.529771883696979973e-02
2.149999999999999911e+00 6.381991616191447225e-02
2.199999999999999734e+00 8.217912685059633460e-02
2.250000000000000000e+00 9.388585093457414710e-02
2.299999999999999822e+00 1.078316981774970207e-01
2.350000000000000089e+00 1.296241054573143148e-01
2.399999999999999911e+00 1.526741420508249403e-01
2.450000000000000178e+00 1.649919953864753541e-01
2.500000000000000000e+00 1.628001704022278284e-01
2.549999999999999822e+00 1.591642148290194070e-01
2.600000000000000089e+00 1.528953714179926149e-01
2.649999999999999911e+00 1.386732880393353184e-01
2.700000000000000178e+00 1.144142847373373489e-01
2.750000000000000000e+00 7.604102635810067179e-02
2.799999999999999822e+00 2.984321528520523722e-02
2.850000000000000089e+00 -1.790020619404269347e-02
2.899999999999999911e+00 -7.044779363318107168e-02
2.950000000000000178e+00 -1.228568266536813475e-01
3.000000000000000000e+00 -1.615639907927201024e-01
3.049999999999999822e+00 -1.950043801402917276e-01
3.100000000000000089e+00 -2.301095348250829509e-01
3.149999999999999911e+00 -2.495719838796102985e-01
3.200000000000000178e+00 -2.561817314454328809e-01
3.250000000000000000e+00 -2.513365730840351753e-01
3.299999999999999822e+00 -2.568912067509536712e-01
3.350000000000000089e+00 -2.658994255707861631e-01
3.399999999999999911e+00 -2.611110195450490612e-01
3.450000000000000178e+00 -2.434768769892744211e-01
3.500000000000000000e+00 -2.213220716662350485e-01
3.549999999999999822e+00 -2.053659355702187606e-01
3.600000000000000089e+00 -1.780694638084274473e-01
3.649999999999999911e+00 -1.432674784044641048e-01
3.700000000000000178e+00 -1.239298061894456432e-01
3.750000000000000000e+00 -8.126313536637919110e-02
3.799999999999999822e+00 -5.382398603319345221e-02
3.850000000000000089e+00 -3.059199172936150762e-02
3.899999999999999911e+00 2.255759089827872113e-02
3.950000000000000178e+00 7.124081496573428374e-02
4.000000000000000000e+00 1.037823165773010120e-01
4.049999999999999822e+00 1.494278278329854992e-01
4.099999999999999645e+00 1.584586957075782010e-01
4.150000000000000355e+00 1.960237354112751296e-01
4.200000000000000178e+00 2.662982585713696837e-01
4.250000000000000000e+00 3.003749264489312121e-01
4.299999999999999822e+00 3.297435084424049645e-01
4.349999999999999645e+00 3.450821055878324217e-01
4.400000000000000355e+00 3.364318964467906681e-01
4.450000000000000178e+00 3.234603313939345970e-01
4.500000000000000000e+00 3.356510425965676392e-01
4.549999999999999822e+00 3.095282344955538889e-01
4.599999999999999645e+00 2.971183225615594559e-01
4.650000000000000355e+00 2.846283321232878083e-01
4.700000000000000178e+00 2.323913922540149224e-01
4.750000000000000000e+00 1.795786637936654662e-01
4.799999999999999822e+00 1.505256428491597021e-01
4.850000000000000533e+00 1.049000707808823429e-01
4.900000000000000355e+00 5.170379746736634974e-02
4.950000000000000178e+00 2.867028054189792608e-03
5.000000000000000000e+00 -4.589437696857071036e-02
5.049999999999999822e+00 -7.831602815740823509e-02
5.100000000000000533e+00 -1.458432823836239844e-01
5.150000000000000355e+00 -1.710316634270465930e-01
5.200000000000000178e+00 -1.874438362446902706e-01
5.250000000000000000e+00 -2.015145820630426798e-01
5.299999999999999822e+00 -2.418403227688117330e-01
5.350000000000000533e+00 -2.263821307642272518e-01
5.400000000000000355e+00 -2.356908069162773622e-01
5.450000000000000178e+00 -2.443084402208797745e-01
5.500000000000000000e+00 -2.452461577436216844e-01
5.549999999999999822e+00 -2.607073032105711174e-01
